"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Brandon Drury","Mets","112","388","357","77","18","1","10","35","36","25","97","3","1","1",".216",".271",".356",".626",".267","1.0","-0.4","-0.3","999.0","11615"
"Sam Travis","Mariners","127","452","417","104","17","1","12","49","39","32","109","2","5","1",".249",".305",".381",".687",".294","-2.0","0.3","-0.3","999.0","16263"
"Roman Quinn","Phillies","82","270","246","55","8","4","5","31","22","18","85","3","22","3",".224",".285",".350",".634",".274","-3.0","3.0","-0.3","516.2","13546"
"Henry Ramos","","105","396","369","96","19","2","10","43","45","22","78","1","4","3",".260",".302",".404",".706",".298","1.0","-0.7","-0.3","999.0","sa548440"
"Sam Haggerty","Mariners","100","408","358","74","17","4","5","43","29","42","130","3","24","6",".207",".294",".318",".612",".269","-4.0","2.0","-0.3","599.7","18054"
"Josh VanMeter","Diamondbacks","131","450","398","90","24","3","13","53","52","45","110","4","10","4",".226",".310",".399",".709",".303","-3.0","0.0","-0.3","600.3","15170"
"Jason Krizan","","112","436","397","96","22","2","8","43","46","35","65","0","2","1",".242",".302",".368",".670",".287","-6.0","-0.2","-0.3","999.0","sa546842"
"Monte Harrison","Marlins","112","404","367","73","11","2","11","46","35","30","163","6","25","4",".199",".270",".330",".600",".261","0.0","3.1","-0.3","578.7","17216"
"Shin-Soo Choo","","117","494","430","103","18","1","16","58","48","50","127","11","14","3",".240",".332",".398",".730",".314","0.0","1.2","-0.3","540.7","3174"
"Jake McCarthy","Diamondbacks","67","275","254","58","14","3","2","26","20","18","69","3","16","5",".228",".287",".331",".618",".269","0.0","0.9","-0.3","999.0","sa3007015"
"Andrew Romine","","105","306","284","67","11","2","3","34","18","16","65","3","7","3",".236",".283",".320",".603",".263","2.0","-0.1","-0.3","999.0","1159"
"JB Shuck","","104","302","276","71","15","2","4","30","25","23","39","1","5","3",".257",".316",".370",".685",".295","0.0","-0.5","-0.3","999.0","6677"
