"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Tim Anderson","White Sox","143","604","577","168","31","3","23","91","69","20","137","4","18","5",".291",".318",".475",".793",".332","-7.0","1.1","2.8","44.5","15172"
"Andrelton Simmons","Twins","131","535","498","136","26","2","7","62","53","31","53","3","10","2",".273",".318",".376",".693",".298","12.0","0.8","2.7","451.7","10847"
"Jose Iglesias","Angels","136","505","479","142","35","2","8","55","63","16","61","6","6","4",".296",".326",".428",".754",".319","5.0","-0.8","2.7","436.1","10231"
"Jorge Polanco","Twins","148","635","577","161","32","5","17","79","72","46","102","3","9","5",".279",".333",".440",".773",".327","-3.0","-0.7","2.7","213.0","13152"
"Javier Baez","Cubs","156","606","571","152","31","4","29","85","91","27","170","4","12","5",".266",".302",".487",".789",".324","2.0","0.0","2.6","74.1","12979"
"Didi Gregorius","","127","522","480","132","23","3","22","73","91","30","68","5","5","3",".275",".321",".473",".793",".328","1.0","-0.6","2.3","170.1","6012"
"Willi Castro","Tigers","146","605","556","154","27","7","16","73","72","31","140","8","10","4",".277",".322",".437",".759",".320","-3.0","-0.1","2.2","244.0","17338"
"Nick Ahmed","Diamondbacks","147","554","505","129","29","4","15","68","72","42","112","2","7","2",".255",".312",".418",".730",".308","8.0","0.3","2.2","404.3","12147"
"J.P. Crawford","Mariners","135","564","493","120","21","6","10","68","58","60","119","6","9","4",".243",".331",".371",".702",".306","2.0","-0.3","2.2","433.9","15491"
"Chris Taylor","Dodgers","139","528","471","120","28","5","18","71","74","48","146","5","10","4",".255",".328",".450",".778",".328","-4.0","0.0","2.2","211.2","13757"
"Miguel Rojas","Marlins","138","494","448","121","22","1","8","51","50","35","60","7","9","4",".270",".331",".377",".708",".304","8.0","-0.2","2.2","421.4","7802"
"Dansby Swanson","Braves","145","597","533","134","29","3","19","81","81","54","154","4","11","3",".251",".323",".424",".747",".314","3.0","0.6","2.1","108.2","18314"
"Adalberto Mondesi","Royals","130","528","492","125","24","9","15","68","63","24","154","2","46","11",".254",".289",".431",".720",".301","4.0","4.2","2.1","26.2","13769"
"Willy Adames","Rays","149","593","532","129","25","3","18","69","60","54","173","2","7","4",".242",".313",".402",".715",".305","0.0","-0.6","2.0","352.8","15986"
"Wander Franco","Rays","126","534","487","128","23","6","14","62","56","40","72","1","10","11",".263",".316",".421",".737",".310","1.0","-3.1","1.9","999.0","sa3007033"
"Luis Urias","Brewers","141","545","479","118","24","5","11","64","60","53","128","10","6","4",".246",".333",".386",".719",".311","4.0","-0.8","1.8","408.9","16622"
