"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ruben Tejada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".291",".326",".617",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","5519"
"Luis Valbuena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".279",".372",".652",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","4969"
"Chase Headley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".292",".331",".623",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","4720"
"Patrick Wisdom","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".281",".382",".663",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","13602"
"Ryder Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".284",".377",".661",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","15982"
"Trevor Plouffe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".286",".347",".633",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","7462"
"Kevin Kramer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".294",".357",".651",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","17689"
"Rob Segedin","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".277",".372",".649",".277","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","11446"
"Ramon Torres","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".268",".321",".590",".255","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","14113"
"Martin Prado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".288",".341",".629",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","3312"
"Chase d'Arnaud","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".270",".314",".584",".255","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","6652"
"Deven Marrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".263",".315",".578",".251","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","13325"
"Darnell Sweeney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".259",".298",".557",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","13284"
"Yadiel Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".260",".304",".564",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","11863"
"Eduardo Nunez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".279",".367",".646",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","6848"
"Jack Reinheimer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".286",".300",".586",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","14938"
"Adam Rosales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".257",".329",".587",".252","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","9682"
"Pablo Sandoval","","37","153","139","34","7","0","7","18","21","11","36","1","1","0","",".247",".305",".444",".750",".314","","93","-0.4","0.0","","-1.8","-3.7","0.0","","999.0","5409"
"Matt Duffy","Cubs","33","138","122","31","6","0","2","14","13","13","24","2","2","1","",".253",".329",".353",".682",".299","","82","-0.3","-1.2","","-3.7","-1.1","0.0","","999.0","13836"
"Adrian Sanchez","","4","15","14","3","1","0","0","1","1","1","3","0","0","0","",".247",".291",".343",".634",".272","","62","0.0","0.0","","-0.7","-0.3","0.0","","999.0","11338"
"Ronald Torreyes","","20","78","73","18","4","0","1","8","8","3","12","1","1","0","",".249",".285",".365",".650",".277","","67","0.1","-0.4","","-3.3","-0.3","-0.1","","999.0","11400"
"Alex Blandino","Reds","29","121","103","22","5","0","2","13","10","14","35","3","1","0","",".211",".315",".329",".645",".286","","71","0.0","-1.3","","-4.6","-0.7","-0.1","","999.0","16271"
"Kyle Farmer","Reds","49","198","180","43","9","1","5","20","21","12","48","3","2","1","",".237",".293",".372",".665",".284","","70","0.0","-0.9","","-7.9","-0.1","-0.2","","999.0","14813"
"Sherten Apostel","Rangers","19","78","70","15","3","0","2","8","8","6","23","1","1","0","",".220",".286",".370",".656",".281","","63","0.1","-0.6","","-3.6","-1.2","-0.2","","999.0","21794"
