"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Bryson Brigman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".288",".304",".592",".260","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829857"
"Edwin Diaz","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".272",".334",".606",".262","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738152"
"Cristhian Adames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".290",".341",".631",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","6013"
"Mat Batten","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".292",".326",".618",".269","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004179"
"Andrew Ely","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".290",".294",".584",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829591"
"Wilfredo Tovar","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".278",".316",".594",".258","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","10416"
"Calten Daal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".286",".338",".625",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa729572"
"Osvaldo Duarte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".271",".334",".605",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828299"
"Vinny Capra","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".283",".322",".605",".263","","60","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006731"
"Jose Rondon","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".279",".359",".638",".274","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","14140"
"Danny Espinosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".268",".346",".614",".262","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","9219"
"Tyler Saladino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".288",".341",".629",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","10807"
"Errol Robinson","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".289",".320",".608",".265","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857819"
"Tyler Freeman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".277",".321",".598",".259","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004755"
"Cole Peterson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".275",".311",".586",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003965"
"Dixon Machado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".292",".323",".615",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","11472"
"Zach Vincej","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".284",".329",".614",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","13269"
