"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Stephen Piscotty","Athletics","130","534","476","118","25","1","20","63","68","45","124","7","4","2","",".249",".320",".435",".754",".320","","102","-0.6","-1.4","","0.6","-7.9","1.1","","999.0","13367"
"Wil Myers","Padres","150","622","549","131","28","3","27","78","82","61","186","4","13","5","",".239",".318",".446",".764",".323","","100","1.3","-2.5","","1.2","-10.0","1.1","","999.0","10047"
"Kole Calhoun","Diamondbacks","139","600","518","121","25","2","25","74","74","67","149","7","4","2","",".233",".326",".434",".760",".322","","96","-0.4","2.0","","-3.3","-4.9","1.1","","999.0","11200"
"Brett Gardner","","110","452","393","94","17","4","13","53","49","48","96","5","8","3","",".240",".328",".399",".726",".313","","92","1.7","1.3","","-2.9","-1.8","1.0","","999.0","9927"
"Trey Mancini","Orioles","120","532","474","124","23","1","24","70","71","45","126","6","2","1","",".262",".332",".467",".799",".335","","107","-0.4","-0.1","","4.4","-12.7","1.0","","999.0","15149"
"Nick Solak","Rangers","131","563","501","132","23","2","18","66","65","48","122","7","9","4","",".264",".334",".423",".758",".323","","92","0.6","-2.8","","-5.3","-4.2","1.0","","999.0","19294"
"Mauricio Dubon","Giants","128","504","464","124","22","2","13","55","56","29","89","4","10","5","",".267",".313",".407",".720",".306","","90","0.3","-2.3","","-6.1","0.0","1.0","","999.0","16530"
"Victor Reyes","Tigers","130","577","537","147","26","5","12","67","55","28","117","4","17","7","",".274",".313",".406",".719",".305","","87","0.4","4.5","","-9.1","-1.2","1.0","","999.0","15487"
"Myles Straw","Astros","120","490","432","110","18","3","4","55","42","48","104","3","26","8","",".254",".331",".339",".670",".295","","85","2.1","-2.3","","-7.3","-0.3","1.0","","999.0","17620"
"A.J. Pollock","Dodgers","129","545","493","122","25","2","25","69","75","37","125","8","7","3","",".247",".308",".456",".764",".319","","99","0.4","-1.5","","-0.2","-7.7","1.0","","999.0","9256"
"Kevin Pillar","","122","506","470","121","27","3","15","57","60","23","87","7","10","4","",".258",".300",".421",".722",".303","","86","1.6","0.0","","-7.8","0.4","1.0","","999.0","12434"
"Jon Berti","Marlins","105","452","394","95","18","2","8","50","38","44","106","7","18","6","",".241",".326",".360",".686",".300","","87","2.1","-1.0","","-5.7","0.8","0.9","","999.0","12037"
"Franchy Cordero","Royals","99","398","358","93","20","2","15","49","51","31","112","4","8","3","",".260",".322",".452",".774",".326","","101","1.0","-1.2","","1.3","-5.6","0.9","","999.0","14567"
"Teoscar Hernandez","Blue Jays","143","594","531","128","24","2","30","77","86","52","187","4","9","4","",".240",".311",".467",".778",".325","","102","0.2","-3.1","","1.8","-13.1","0.9","","999.0","13066"
"Charlie Blackmon","Rockies","136","609","546","155","30","4","25","84","80","48","116","8","6","3","",".284",".348",".489",".837",".349","","100","-0.1","-3.8","","0.3","-10.6","0.9","","999.0","7859"
"Corey Dickerson","Marlins","133","573","528","141","30","3","20","67","69","35","106","4","5","2","",".267",".315",".451",".766",".320","","100","-0.7","-1.8","","-0.8","-8.5","0.9","","999.0","10762"
"Nick Senzel","Reds","105","455","408","104","24","2","14","56","50","37","108","4","14","5","",".254",".319",".426",".745",".316","","91","-0.1","-1.1","","-5.6","0.0","0.9","","999.0","19293"
"Dominic Smith","Mets","134","559","503","127","29","1","23","68","75","43","134","7","3","1","",".252",".317",".453",".771",".324","","104","0.0","-4.8","","2.7","-12.0","0.9","","999.0","15653"
"Robbie Grossman","","120","501","425","107","23","2","13","60","52","65","99","5","10","4","",".251",".353",".404",".757",".327","","102","-0.1","-2.2","","1.0","-9.1","0.9","","999.0","5254"
"D.J. Stewart","Orioles","94","387","333","82","16","1","17","48","49","44","97","5","5","2","",".245",".339",".447",".786",".334","","106","0.2","-1.8","","3.2","-8.2","0.8","","999.0","17766"
"Tony Kemp","Athletics","94","379","334","84","16","2","6","42","35","34","59","5","9","4","",".251",".327",".364",".691",".300","","89","0.0","-0.8","","-5.6","0.7","0.8","","999.0","14894"
"Alex Kirilloff","Twins","118","479","438","121","23","2","16","60","61","30","89","5","7","3","",".277",".327",".448",".776",".327","","102","0.4","0.0","","1.6","-10.2","0.8","","999.0","sa917929"
"Hunter Renfroe","Red Sox","117","487","436","102","21","1","28","64","74","41","140","4","4","2","",".234",".305",".476",".781",".325","","97","-0.3","-1.2","","-2.2","-7.1","0.8","","999.0","15464"
"Khris Davis","Athletics","130","539","472","110","19","1","30","69","80","54","153","8","1","0","",".233",".319",".470",".789",".330","","108","-1.8","0.0","","4.0","-15.1","0.8","","999.0","9112"
"Yoshitomo Tsutsugo","Rays","65","272","230","55","10","1","13","35","36","36","74","2","1","0","",".239",".345",".454",".799",".337","","114","0.0","0.0","","4.7","-6.4","0.8","","999.0","27459"
"Yasiel Puig","","83","353","314","80","15","1","15","44","49","32","77","4","9","4","",".254",".328",".450",".778",".328","","103","-0.8","-0.6","","0.4","-4.7","0.7","","999.0","14225"
"Shogo Akiyama","Reds","89","384","335","88","16","2","9","47","38","40","76","4","8","4","",".264",".347",".404",".751",".324","","96","-0.2","-1.2","","-2.5","-2.5","0.7","","999.0","27461"
"Jake Bauers","Indians","97","395","338","81","18","1","14","48","48","48","97","4","8","4","",".240",".338",".423",".762",".327","","99","0.8","1.3","","0.2","-6.8","0.7","","999.0","15194"
"Nicholas Castellanos","Reds","146","651","586","153","39","3","28","87","88","50","162","7","3","2","",".260",".323",".478",".801",".334","","102","0.2","-9.2","","2.3","-16.5","0.7","","999.0","11737"
"Adam Duvall","","91","371","333","77","16","1","20","46","54","29","99","5","1","1","",".233",".301",".471",".772",".321","","97","0.5","-0.4","","-0.8","-5.0","0.7","","999.0","10950"
"Nomar Mazara","","97","402","362","92","18","1","16","48","54","31","98","5","2","1","",".253",".317",".443",".760",".320","","97","-0.3","-0.6","","-1.8","-5.5","0.6","","999.0","14553"
"Marwin Gonzalez","","89","366","326","82","16","1","11","41","42","32","82","4","1","1","",".251",".323",".410",".733",".313","","92","-0.3","-1.6","","-4.0","-2.1","0.6","","999.0","5497"
"Dylan Moore","Mariners","131","545","483","107","23","2","16","61","56","43","141","11","24","11","",".222",".299",".379",".679",".292","","83","0.4","-0.9","","-11.4","-1.6","0.6","","999.0","18042"
"JaCoby Jones","Tigers","133","538","481","113","26","3","16","61","57","39","160","10","11","4","",".234",".303",".398",".701",".299","","83","1.0","-4.9","","-10.8","-2.7","0.5","","999.0","14818"
"Avisail Garcia","Brewers","138","593","535","137","26","2","21","70","71","43","147","9","8","3","",".255",".319",".427",".745",".315","","91","-0.4","0.1","","-7.5","-6.2","0.5","","999.0","5760"
