"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Stevie Berman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".284",".337",".621",".270","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873599"
"Jorge Saez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".284",".344",".628",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658909"
"Juan Graterol","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".287",".337",".624",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","5398"
"Mike Ohlman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".292",".331",".623",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","10347"
"Mitchell Kranson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".285",".341",".626",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918156"
"Ryan Lidge","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".286",".334",".620",".270","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738984"
"Francisco Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".274",".380",".654",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","8298"
"Jake Lowery","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".290",".329",".619",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597837"
"Kevan Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".314",".392",".706",".303","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","12284"
"Raffy Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".280",".350",".631",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12606"
"Andrew Susac","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".294",".324",".618",".272","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","13132"
"Devin Mesoraco","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".295",".371",".666",".286","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","5666"
"John Ryan Murphy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".254",".321",".575",".248","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","10346"
"Max Pentecost","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".266",".348",".614",".263","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa601924"
"Wynston Sawyer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".283",".334",".617",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548430"
"Taylor Gushue","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".280",".359",".638",".274","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827360"
"Gabriel Lino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".277",".338",".614",".266","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548048"
"Brian Serven","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".295",".390",".685",".292","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857231"
"Joey Morgan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".278",".329",".607",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004032"
"Martin Cervenka","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".277",".336",".613",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa492636"
"Webster Rivas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".286",".328",".614",".266","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa547912"
