Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
202	Kluber, Corey	NYY	P	205.59	94	322		174		
203	Grichuk, Randal	TOR	OF	207.39	138	412		173		
204	Riley, Austin	ATL	3B	208.00	152	284		174		
205	Gonsolin, Tony	LAD	P	208.67	151	357		174		
206	Heaney, Andrew	LAA	P	209.03	158	277		174		
207	Winker, Jesse	CIN	OF	210.54	167	275		174		
208	Means, John	BAL	P	210.93	157	279		174		
209	Taylor, Chris	LAD	2B, SS, OF	213.91	145	299		174		
210	Stroman, Marcus	NYM	P	214.12	138	270		174		
211	Polanco, Jorge	MIN	SS	215.90	147	358		174		
212	Smyly, Drew	ATL	P	217.37	162	289		174		
213	Montgomery, Jordan	NYY	P	218.46	155	308		174		
214	Taillon, Jameson	NYY	P	219.79	142	287		174		
215	Turner, Justin	LAD	3B	219.97	147	290		174		
216	Rodriguez, Richard	PIT	P	220.69	121	393		174		
217	Javier, Cristian	HOU	P	220.79	170	295		174		
218	Fletcher, David	LAA	2B, 3B, SS	222.46	153	300		174		
219	Kelenic, Jarred	SEA	OF	222.51	151	341		174		
220	DeJong, Paul	STL	SS	223.04	162	342		173		
221	Davis, J.D.	NYM	3B, OF	223.17	159	285		174		
222	Urquidy, Jose	HOU	P	225.18	143	279		174		
223	Anderson, Brian	MIA	3B	228.23	130	301		174		
224	Rodriguez, Eduardo	BOS	P	228.82	160	305		174		
225	Hays, Austin	BAL	OF	228.89	126	340		174		
226	Benintendi, Andrew	KC	OF	229.89	166	292		174		
227	Eovaldi, Nathan	BOS	P	231.64	177	307		174		
228	Pineda, Michael	MIN	P	232.62	170	309		174		
229	Barnes, Matt	BOS	P	233.18	132	464		174		
230	Dozier, Hunter	KC	1B, OF	234.61	156	311		174		
231	Ohtani, Shohei	LAA	P	234.62	167	342		174		
232	Profar, Jurickson	SD	2B, OF	234.87	135	320		173		
233	Pomeranz, Drew	SD	P	237.09	149	466		174		
234	McMahon, Ryan	COL	1B, 2B, 3B	238.07	157	319		174		
235	Castro, Willi	DET	3B, SS	239.76	127	332		174		
236	Manaea, Sean	OAK	P	241.44	131	308		174		
237	Singer, Brady	KC	P	242.68	147	336		174		
238	Davies, Zach	CHC	P	243.06	159	335		174		
239	Smith, Will	ATL	P	246.66	134	535		172		
240	Yarbrough, Ryan	TB	P	247.13	175	315		174		
241	Posey, Buster	SF	C	247.80	160	329		174		
242	Candelario, Jeimer	DET	1B, 3B	248.21	180	342		174		
243	Hernandez, Elieser	MIA	P	248.89	183	333		174		
244	Tapia, Raimel	COL	OF	249.23	147	349		174		
245	Cain, Lorenzo	MLW	OF	251.37	181	340		174		
246	Lux, Gavin	LAD	2B	252.45	167	377		174		
247	Alfaro, Jorge	MIA	C	253.48	179	392		174		
248	Kelly, Carson	ARZ	C	253.90	160	356		174		
249	Sale, Chris	BOS	P	255.39	172	414		174		
250	Calhoun, Kole	ARZ	OF	256.90	201	328		174		
251	Nimmo, Brandon	NYM	OF	257.00	196	320		174		
252	Paxton, James	SEA	P	257.55	188	350		174		
253	Hampson, Garrett	COL	2B, OF	261.43	187	396		174		
254	Margot, Manuel	TB	OF	261.62	197	385		173		
255	Pearson, Nate	TOR	P	262.25	168	387		174		
256	Hicks, Jordan	STL	P	262.39	165	481		174		
257	Canha, Mark	OAK	OF	262.69	206	320		174		
258	Kirilloff, Alex	MIN	OF	263.29	215	343		174		
259	Tellez, Rowdy	TOR	1B	263.57	156	465		174		
260	Berti, Jon	MIA	2B, OF	264.01	181	388		174		
261	Seager, Kyle	SEA	3B	265.63	182	333		174		
