"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"212","Buck Farmer","Tigers","pitcher",-0.23,-3.02,-5.9407134043111,""
"213","Tony Watson",NA,"pitcher",-0.25,-3.05,-5.99972711362545,""
"214","Aaron Sanchez",NA,"pitcher",-0.25,-3.06,-6.01939835006356,""
"215","Brett Martin","Rangers","pitcher",-0.26,-3.08,-6.05874082293979,""
"216","Reynaldo Lopez","White Sox","pitcher",-0.26,-3.08,-6.05874082293979,""
"217","Taylor Widener","Diamondbacks","pitcher",-0.29,-3.12,-6.13742576869226,""
"218","Julian Merryweather","Blue Jays","pitcher",-0.29,-3.12,-6.13742576869226,""
"219","Robinson Chirinos",NA,"catcher",-3.015304174259,-3.1283615899773,-6.15387405003647,""
"220","Jose Cisnero","Tigers","pitcher",-0.31,-3.17,-6.23578195088284,""
"221","Craig Stammen","Padres","pitcher",-0.32,-3.17,-6.23578195088284,""
"222","Tyler Heineman",NA,"catcher",-3.02947545622507,-3.17596271399362,-6.24751134656096,""
"223","Blake Taylor","Astros","pitcher",-0.32,-3.18,-6.25545318732096,""
"224","Joseph Palumbo","Rangers","pitcher",-0.32,-3.19,-6.27512442375907,""
"225","Joe Ross","Nationals","pitcher",-0.33,-3.2,-6.29479566019719,""
"226","Patrick Sandoval","Angels","pitcher",-0.34,-3.21,-6.31446689663531,""
"227","Taylor Hearn","Rangers","pitcher",-0.34,-3.21,-6.31446689663531,""
