Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status
Daulton Jefferies,Athletics,pitcher,19345,113,4.51,1.3,0,7,102,2.3,2.33,
Nate Pearson,Blue Jays,pitcher,20160,126,4.79,1.39,0,8,124,2.28,2.29,drafted
Emilio Pagan,Padres,pitcher,14771,63,4.06,1.22,9,3,71,2.27,2.26,
Liam Hendriks,NA,pitcher,3548,70,3.33,1.1,0,4,92,2.23,2.1500000000000004,drafted
Steven Matz,Mets,pitcher,13361,111,4.47,1.34,0,7,108,2.19,2.0300000000000002,
Alec Mills,Cubs,pitcher,13834,170,5.01,1.44,0,9,134,2.19,2.0300000000000002,
Jonathan Brubaker,Pirates,pitcher,17578,129,4.44,1.39,0,7,113,2.16,1.9400000000000004,
Cristian Javier,Astros,pitcher,17606,127,5.01,1.41,0,8,135,2.16,1.9299999999999997,
Jon Gray,Rockies,pitcher,14916,155,5,1.43,0,9,128,2.15,1.92,
Brad Keller,Royals,pitcher,15734,180,4.82,1.49,0,10,129,2.11,1.8200000000000003,
Josh Staumont,Royals,pitcher,18335,63,4.18,1.4,11,3,77,2.1,1.79,
Michael Wacha,Rays,pitcher,14078,141,4.83,1.41,0,8,122,2.1,1.7699999999999996,
Carlos Martinez,Cardinals,pitcher,11682,156,4.74,1.47,0,9,126,2.09,1.75,
Kris Bubic,Royals,pitcher,21455,135,4.66,1.43,0,8,120,2.07,1.6900000000000004,
Diego Castillo,Rays,pitcher,17496,63,3.55,1.26,7,3,72,2,1.5199999999999996,
Adam Wainwright,NA,pitcher,2233,150,4.92,1.42,0,8,123,1.94,1.3499999999999996,
Alex Cobb,Orioles,pitcher,6562,170,5.05,1.44,0,9,126,1.94,1.3399999999999999,
Trevor Rogers,Marlins,pitcher,22286,103,4.11,1.34,0,6,99,1.94,1.3399999999999999,drafted
Bryan Garcia,Tigers,pitcher,19457,63,5.04,1.51,17,3,53,1.92,1.2999999999999998,
Tyler Rogers,Giants,pitcher,15541,63,4.08,1.41,13,3,50,1.91,1.2400000000000002,
Josh Fleming,Rays,pitcher,20418,128,4.42,1.39,0,8,89,1.88,1.17,
Cal Quantrill,Indians,pitcher,19312,102,4.62,1.34,3,6,89,1.87,1.1500000000000004,
Reyes Moronta,Giants,pitcher,14966,56,3.92,1.34,10,3,65,1.86,1.13,
Trevor May,Mets,pitcher,6398,64,3.61,1.2,4,3,83,1.85,1.08,
Michael Lorenzen,Reds,pitcher,14843,154,4.82,1.48,0,8,135,1.82,1.0199999999999996,
Rich Hill,NA,pitcher,4806,122,4.77,1.38,0,7,113,1.82,1.0099999999999998,
Tejay Antone,Reds,pitcher,16233,114,4.29,1.39,0,6,109,1.81,0.9900000000000002,
Giovanny Gallegos,Cardinals,pitcher,14986,63,3.96,1.24,7,3,70,1.81,0.9699999999999998,
Matt Wisler,Giants,pitcher,12804,63,4.03,1.25,8,3,64,1.8,0.96,
