team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
dsb,B5,Forrest Whitley,0,NA,NA,NA,NA,NA,NA,65,5.03,1.51,0,4,69,NA,NA
dsb,B6,Tetsuto Yamada,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsb,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsb,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsb,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsb,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,C1,Christian Vazquez,5,423.8333333333333,54.20065942734572,14.132473732227899,52.867023358949076,5.893187359091287,0.25933333333333336,NA,NA,NA,NA,NA,NA,1.5463914377258785,12.194305693813291
lacugna,C2,Omar Narvaez,3,277.8333333333333,30.59370550546766,8.366824107901131,30.38783162915932,0.1736111111111111,0.24333333333333332,NA,NA,NA,NA,NA,NA,-2.0033388388864237,0.27081482501735654
lacugna,1B,Colin Moran,1,530.8333333333334,70.60502376287504,21.606651352682142,79.29066210110378,1.0316007766827697,0.25833333333333336,NA,NA,NA,NA,NA,NA,2.7887114108902717,9.367239889333396
lacugna,2B,Jonathan Villar,16,408.8333333333333,51.35508050794184,10.695035147733764,40.869701759477024,24.618161370776793,0.244,NA,NA,NA,NA,NA,NA,3.909188748208751,13.130906494718369
lacugna,SS,Dansby Swanson,10,566.3333333333334,81.63613912590412,20.647302663120254,74.96807598314156,10.416022200775236,0.254,NA,NA,NA,NA,NA,NA,4.60691717337588,15.474565831652344
lacugna,3B,Anthony Rendon,47,543.5,91.19963277770724,27.894438358485314,94.02752661376668,3.2162289323305147,0.2835,NA,NA,NA,NA,NA,NA,5.518957089651938,18.538094259528645
