playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,auction_value,status,NFBC_ADP,salary
12856,George Springer,Blue Jays,of,605,531.8333333333334,95.4813688078775,32.13443891755496,84.1627563892559,5.241494090861498,0.27283333333333337,5.814688004582423,19.53144997644793,38.420777046594644,drafted,50.92,27
19556,Yordan Alvarez,Astros,dh,560.5,463.1666666666667,84.3693581594181,34.385999126176664,96.60764883268824,2.682879767946767,0.2823333333333333,5.790952191660299,19.451721736106673,38.26394173993986,drafted,84.5,5
17484,Eloy Jimenez,White Sox,of,613,564.6666666666666,83.1481420286417,35.56551800745567,102.9933639558765,0.8240243903666417,0.2833333333333333,5.754435241926707,19.32906184851648,38.022654574913915,drafted,34.88,7
12552,Eugenio Suarez,Reds,3b,626,560.5,87.78368195726958,37.519388107974905,99.85302418589295,3.2657365293365084,0.25,5.72305946770466,19.22367109251938,37.815337926952836,drafted,78.6,17
13066,Teoscar Hernandez,Blue Jays,of,580.5,524,79.4510169349681,32.847573518943385,87.3088581735107,9.88261068046292,0.2445,5.703822161005458,19.159053267249828,37.688226675053414,drafted,75.4,2
13624,Corey Seager,Dodgers,ss,619,566.1666666666666,91.67983446897264,28.93790734737792,96.66564935775482,2.840692042292177,0.286,5.7022647498515955,19.15382194649445,37.67793602030714,drafted,37.03,19
17350,Rafael Devers,Red Sox,3b,614.5,588.3333333333334,88.49160682987993,28.854620258695892,90.5288990918361,5.435948801448902,0.2781666666666667,5.679305376859935,19.076701756258302,37.52623107067837,drafted,42.64,12
16997,Gleyber Torres,Yankees,"2b, ss",624,541.3333333333334,84.73743712758721,30.366673837307626,90.68058312447945,6.307632566042518,0.269,5.65035712161799,18.979465000181637,37.33495434875242,drafted,70.13,9
2967,Tommy Pham,Padres,of,562.5,483.1666666666667,77.3527194120982,18.589959081689738,66.96241447639856,18.137494189210773,0.26266666666666666,5.620127697579999,18.87792481729486,37.13521225419888,drafted,130.01,25
15676,Jose Abreu,White Sox,1b,637,577.8333333333334,84.47454196888134,31.957835549323207,103.06993203601063,1.6631191684130617,0.2783333333333333,5.555672389024327,18.661420400586774,36.70932129710276,drafted,37.59,44
19251,Pete Alonso,Mets,1b,616,555.1666666666666,86.68161838163078,39.57152668680086,101.03623614031201,1.582537030389678,0.24866666666666667,5.555266502920756,18.66005703523995,36.706639388893876,drafted,57.82,13
18363,Victor Robles,Nationals,of,594.5,544,73.7759671586235,15.543171959658215,61.13155848146841,22.370687685023935,0.24916666666666668,5.536277047839171,18.596271739844276,36.58116582619353,drafted,158.45,5
12861,Anthony Rendon,Angels,3b,640.5,543.5,91.19963277770724,27.894438358485314,94.02752661376668,3.2162289323305147,0.2835,5.518957089651938,18.538094259528645,36.46672352912727,drafted,42.07,47
20003,Keston Hiura,Brewers,2b,607.5,563.5,79.95828565200938,28.71877134359197,83.67082726964149,10.31570613951375,0.2515,5.47115711520829,18.377534860815278,36.15088333968203,drafted,69.34,5
15640,Aaron Judge,Yankees,of,568.5,476.6666666666667,90.90348216335458,34.711803786343864,85.95771950975346,3.983296906847577,0.25566666666666665,5.338749033355767,17.93277809568155,35.2759917912423,drafted,58.29,12
16376,Michael Conforto,Mets,of,619.5,548.6666666666666,87.64465198271695,28.192505134725604,86.25576582621629,5.958499614886985,0.2605,5.163881756691092,17.34540153067889,34.12054946240471,drafted,73.3,26
4949,Giancarlo Stanton,Yankees,"dh, of",568.3333333333334,476.6666666666667,82.8044010929014,35.56771018478131,93.17765346524311,3.0825501397732435,0.2495,5.093907331201815,17.110358482797828,33.658190725604335,drafted,123.21,28
3473,Anthony Rizzo,Cubs,1b,631,549.1666666666666,86.36245687676337,26.340831507181814,85.00728011877763,6.1394722538622535,0.2665,5.078183628032349,17.057542799195044,33.554295745625225,drafted,101.07,32
18564,Trent Grisham,Padres,of,601,538.3333333333334,84.29051772128608,21.407572158595084,69.95693474916943,13.70785452327868,0.24483333333333332,5.003890767018702,16.80799419102351,33.063402778210715,drafted,66.51,3
18042,Dylan Moore,Mariners,of,542,447.6666666666667,67.31633500140777,18.541816515405575,55.17996825790696,22.911996094547828,0.22733333333333333,4.982953410088436,16.737665922473205,32.925058378317075,drafted,115.46,10
14128,Joey Gallo,Rangers,of,604.5,497.6666666666667,83.55425170527555,37.90796393322937,91.15798956205512,5.689716217327651,0.21333333333333332,4.971250415337902,16.69835573826993,32.84773038552823,drafted,162.97,28
7859,Charlie Blackmon,Rockies,of,594,544.5,83.27504335432621,22.61614318475375,78.99807731562721,6.230638730467928,0.289,4.926338492617228,16.547497262067317,32.55097311012067,drafted,89.21,27
19611,Vladimir Guerrero Jr.,Blue Jays,"3b, dh",620,553.6666666666666,83.21002497763249,26.356819671218812,90.63285377079157,2.67182451800724,0.285,4.913952533800874,16.505893011789173,32.46913240571548,drafted,55.55,5
