"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Hunter Renfroe","Red Sox","117","504","451","106","21","1","29","67","77","43","145","5","4","2",".234",".305",".476",".781",".325","-1.2","-0.3","0.9","999.0","15464"
"Nick Senzel","Reds","112","483","433","110","25","2","15","59","53","39","114","4","14","6",".254",".319",".426",".745",".316","-1.1","-0.1","0.9","999.0","19293"
"Yoshitomo Tsutsugo","Rays","65","280","237","57","10","1","13","36","37","37","76","2","1","0",".239",".345",".454",".799",".337","0.0","0.0","0.9","999.0","27459"
"Jake Bauers","Indians","97","420","360","86","19","1","15","51","51","51","104","4","9","4",".240",".338",".423",".762",".327","1.3","0.8","0.9","999.0","15194"
"Yasiel Puig","","83","357","318","81","15","1","15","45","49","32","78","4","9","4",".254",".328",".450",".778",".328","-0.6","-0.8","0.8","999.0","14225"
"Adam Duvall","","91","392","352","82","17","1","21","49","57","31","105","5","1","1",".233",".301",".471",".772",".321","-0.4","0.5","0.8","999.0","10950"
"Shogo Akiyama","Reds","97","420","366","96","17","2","10","51","41","44","83","4","9","4",".264",".347",".404",".751",".324","-1.1","-0.3","0.8","999.0","27461"
"Nomar Mazara","","97","420","378","96","19","1","17","50","56","32","102","5","2","1",".253",".317",".443",".760",".320","-0.6","-0.3","0.7","999.0","14553"
"Marwin Gonzalez","","89","385","343","86","17","1","12","43","45","33","86","4","1","1",".251",".323",".410",".733",".313","-1.6","-0.3","0.7","999.0","5497"
"Nicholas Castellanos","Reds","146","630","567","148","37","3","27","84","85","48","157","7","3","2",".260",".323",".478",".801",".334","-9.2","0.2","0.6","999.0","11737"
"Dylan Moore","Mariners","131","567","502","112","24","2","17","64","58","45","147","12","25","11",".222",".299",".379",".679",".292","-0.9","0.4","0.6","999.0","18042"
"Avisail Garcia","Brewers","138","595","536","137","26","2","21","70","72","43","147","9","8","3",".255",".319",".427",".745",".315","0.1","-0.4","0.6","999.0","5760"
"JaCoby Jones","Tigers","133","574","513","120","28","3","17","65","60","42","171","10","11","4",".234",".303",".398",".701",".299","-4.9","1.0","0.6","999.0","14818"
"Jake Cave","Twins","91","392","353","87","17","3","12","46","46","28","119","6","4","2",".245",".309",".414",".723",".307","0.7","0.3","0.5","999.0","14477"
"Ryan Braun","","102","441","400","103","21","2","19","55","61","31","95","5","6","2",".258",".318",".459",".777",".326","-0.3","-1.2","0.5","999.0","3410"
"Adam Haseley","Phillies","102","441","396","101","20","1","11","48","48","33","92","6","5","2",".255",".318",".396",".714",".305","0.7","0.4","0.5","999.0","19878"
"Taylor Ward","Angels","53","231","201","48","9","1","7","27","27","25","63","3","4","1",".240",".328",".401",".729",".314","-0.2","0.3","0.5","999.0","17548"
"Austin Slater","Giants","60","259","224","56","11","1","7","31","27","27","71","4","6","2",".250",".339",".405",".743",".320","-0.1","0.5","0.5","999.0","16153"
